Date,Open,High,Low,Close,Shares Traded,Turnover,DoD_Return_%,ATR_14,MACD,MACD_Signal,CCI_20
2026-08-06,11244.75,11334.45,11189.85,11304.3,89054988,4803.73,0.7868188890028049,136.16936772426405,20.111079492740828,6.039868297829955,72.32039224619804
2026-08-07,11276.5,11344.45,11238.95,11312.2,56530860,2939.82,0.06988491105155425,133.97869860110234,26.479727558780723,10.12784015002011,82.55760544650389
2026-08-10,11313.6,11318.0,11226.8,11270.45,61959022,2776.75,-0.3690705609872502,130.92307727245222,27.837161484494573,13.669704416915001,54.81958368588077
2026-08-11,11279.3,11302.25,11220.5,11279.1,104285262,5883.48,0.07674937557948791,127.41071461013419,29.273473973478758,16.790458328227754,46.48886078032995
2026-08-12,11289.25,11307.9,11189.1,11293.9,70235586,3078.29,0.1312161431319847,126.79566356655313,31.245815963724453,19.681529855327096,39.86236826786453
2026-08-13,11292.95,11293.5,11188.35,11252.55,59078309,2803.99,-0.36612684723612565,125.27811616894213,29.136444976440544,21.572512879549784,21.996524280576303
2026-08-14,11240.6,11241.6,11161.95,11200.05,63904656,2923.89,-0.4665609128597481,122.80110787116044,22.963730442512315,21.85075639214229,-13.504263092018673
2026-08-17,11212.25,11244.25,11131.6,11208.5,70110990,3472.63,0.07544609175853534,122.0760287375061,18.539937227125847,21.188592559139003,-13.602621470489026
2026-08-18,11205.7,11300.75,11196.8,11231.15,68057376,3650.8,0.20207877949769415,120.78131239911286,16.669558642683114,20.284785775847826,37.61295567363106
2026-08-19,11253.7,11274.55,11143.95,11176.9,92246679,4156.47,-0.48303156845024287,121.48264722774755,10.686560507945615,18.365140722267387,-3.6724732811585383
2026-08-20,11218.05,11218.05,11104.3,11178.15,48060570,2088.28,0.011183780833690093,120.93031528290844,5.976957291182771,15.887504036050464,-36.47001421328318
2026-08-21,11178.45,11207.85,11156.9,11182.75,51404594,2103.68,0.04115171115077754,115.9317213341293,2.58593531461338,13.227190291763048,-29.82288086249316
2026-08-24,11200.3,11267.3,11154.2,11197.0,48289123,2225.2,0.1274284053564667,115.72945552454853,1.0364345031757694,10.789039134045593,-9.970311726867324
2026-08-25,11177.25,11216.9,11132.7,11214.9,54323295,2246.72,0.15986424935250376,113.47735155850926,1.2385471494490048,8.878940737126275,-45.46984572230053
2026-08-26,11211.35,11248.4,11146.05,11149.35,37786681,1673.52,-0.5844902763288085,112.68254073290147,-3.8462768131503253,6.333897227070955,-70.65085638998968
2026-08-27,11173.35,11203.75,11060.65,11060.65,51170570,2572.46,-0.7955620731253443,114.85521639483711,-14.862064512473808,2.094704879162003,-183.3548504883743
2026-08-28,11079.15,11089.3,11030.9,11067.7,43684190,1895.79,0.06373947281579362,110.82270093806301,-22.760905991859545,-2.876417295042307,-209.85029436501455
2026-08-31,11040.8,11104.2,10969.0,11103.8,108009305,6440.2,0.32617436323716387,112.56393658534428,-25.810301384632112,-7.463194112960268,-191.6252901816186
2026-09-01,11063.6,11151.7,11013.55,11142.3,59476364,3147.27,0.3467281471208006,114.39151254353408,-24.834069269172687,-10.937369144202751,-119.12257800301794
2026-09-02,11080.65,11182.45,11025.6,11178.85,70718982,3591.34,0.3280292219739245,117.42426164756739,-20.87053619559083,-12.924002554480367,-76.7027032209824
2026-09-03,11175.45,11218.1,11139.4,11164.65,43174621,2415.53,-0.12702558849971846,114.65824295845549,-18.66012667987161,-14.071227379558616,-16.891848461864015
