cleDate ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
08-MAY-2026,11658.85,11661.85,11554.15,11598.85,65835756,2977.54
07-MAY-2026,11755.7,11777.3,11657.8,11708.6,109660251,5491.79
06-MAY-2026,11754.1,11792.45,11600.85,11720.6,114737708,5110.42
05-MAY-2026,11734.7,11766.25,11577.8,11700.15,100106440,5654.82
04-MAY-2026,11740.75,11801.95,11698.5,11733.1,92111438,5725.13
30-APR-2026,11714.8,11731.05,11554.9,11694.65,109742234,6964.06
29-APR-2026,11738.65,11863,11713.05,11769.25,130058451,7877.66
28-APR-2026,11479.85,11715.35,11465.05,11686.75,173286528,10592.88
27-APR-2026,11326.35,11532.1,11316.8,11508.35,84190818,5137.26
24-APR-2026,11426.4,11447.65,11293.2,11331.7,79242971,4134.14
23-APR-2026,11447.4,11528.85,11401.35,11414,94902420,4574.17
22-APR-2026,11411.95,11523.6,11400.15,11501.05,70854844,3286.09
21-APR-2026,11426.5,11506.8,11426.5,11442.7,103416325,5772.21
20-APR-2026,11402.65,11503.4,11318.55,11434.4,90248039,4314.9
17-APR-2026,11272.05,11436.65,11244.65,11409.95,140654553,6079.95
16-APR-2026,11349.75,11349.75,11202.3,11254.95,106392993,6292.31
15-APR-2026,11186.95,11288.4,11155.25,11274.65,123883804,5346.51
13-APR-2026,10952.85,11051.2,10893.55,11035.9,138654615,6792.55
10-APR-2026,11131.75,11237,11128.2,11193.4,111137042,5336.44
09-APR-2026,11106.65,11146.95,11024.05,11092.2,131018358,5855.53
08-APR-2026,11065.3,11153.25,10985.1,11135.25,234617097,9184.95
07-APR-2026,10622.1,10766.95,10583,10747.3,128949668,6280.95
06-APR-2026,10863.25,10863.25,10580.95,10694.35,123785928,6306.29
02-APR-2026,10838.5,10876.75,10610.3,10842.35,119136150,5410.19
01-APR-2026,11095.6,11095.85,10904.2,10929.05,136059136,5182.89
30-MAR-2026,10720.75,10955.4,10696.2,10788.05,173728028,7270.91
27-MAR-2026,10987.6,11025.45,10808,10830.4,226986561,8643.2
25-MAR-2026,10977.95,11029.3,10925.95,10956.05,131039068,5507.62
